start,delta_factor,rho,R,delta_0,gap,n_contractions,n_iter
warm,0.1,0.7,0.5,0.15553978397261528,2.8162321599634055e-05,23,8000
warm,0.5,0.7,0.5,0.7776989198630764,3.1244848446299045e-05,28,8000
warm,0.05,0.7,1.0,0.07776989198630764,3.253522460600067e-05,20,8000
warm,0.05,0.8,0.5,0.07776989198630764,3.643124903396355e-05,33,8000
warm,0.5,0.3,5.0,0.7776989198630764,3.852204401910697e-05,8,8000
warm,0.01,0.8,0.5,0.015553978397261527,4.1677682784957426e-05,24,8000
warm,0.01,0.7,1.0,0.015553978397261527,4.3787433150477284e-05,15,8000
warm,0.1,0.7,1.0,0.15553978397261528,4.7703620319472506e-05,22,8000
warm,1.0,0.8,0.5,1.5553978397261528,4.777908257169727e-05,45,8000
warm,0.1,0.8,0.5,0.15553978397261528,4.9477291986343985e-05,35,8000
warm,0.5,0.5,5.0,0.7776989198630764,5.035538713027421e-05,13,8000
warm,1.0,0.7,1.0,1.5553978397261528,5.053572511193316e-05,27,8000
warm,1.0,0.5,5.0,1.5553978397261528,5.1534507689243725e-05,14,8000
warm,1.0,0.3,5.0,1.5553978397261528,5.3337252579499506e-05,8,8000
warm,0.1,0.3,5.0,0.15553978397261528,5.737502589520105e-05,6,8000
warm,1.0,0.8,1.0,1.5553978397261528,5.946717393179313e-05,43,8000
warm,0.05,0.9,0.5,0.07776989198630764,6.761071915217798e-05,63,8000
warm,0.1,0.9,0.5,0.15553978397261528,7.898509977399826e-05,68,8000
warm,0.1,0.8,1.0,0.15553978397261528,8.228101733198656e-05,32,8000
warm,0.5,0.7,1.0,0.7776989198630764,8.875094397020611e-05,25,8000
warm,0.05,0.8,1.0,0.07776989198630764,9.651812617583744e-05,29,8000
warm,0.5,0.8,1.0,0.7776989198630764,9.944370634906718e-05,38,8000
warm,0.5,0.9,0.5,0.7776989198630764,0.00010169330782994201,82,8000
warm,0.01,0.9,0.5,0.015553978397261527,0.00010581433915946015,45,8000
warm,0.5,0.3,10.0,0.7776989198630764,0.0001063922927340144,7,8000
warm,0.01,0.5,5.0,0.015553978397261527,0.00011337213798001677,6,8000
warm,0.1,0.5,5.0,0.15553978397261528,0.0001135309267490392,10,8000
warm,0.1,0.7,5.0,0.15553978397261528,0.00012295970618247942,18,8000
warm,0.05,0.3,5.0,0.07776989198630764,0.0001242607719884603,5,8000
warm,1.0,0.3,10.0,1.5553978397261528,0.00013097268377304516,7,8000
warm,1.0,0.9,1.0,1.5553978397261528,0.00013806741075539364,82,8000
warm,0.05,0.3,10.0,0.07776989198630764,0.00014590144585957532,5,8000
warm,0.01,0.8,1.0,0.015553978397261527,0.00015373035318066997,19,8000
warm,1.0,0.9,0.5,1.5553978397261528,0.00015510763485071521,87,8000
warm,0.05,0.9,1.0,0.07776989198630764,0.00016467087095040078,52,8000
warm,0.05,0.5,10.0,0.07776989198630764,0.0001734183327655181,8,8000
warm,0.01,0.3,10.0,0.015553978397261527,0.00019346819195265041,3,8000
warm,0.01,0.9,1.0,0.015553978397261527,0.00020262644693347376,39,8000
warm,0.1,0.3,10.0,0.15553978397261528,0.00021096514043694725,5,8000
warm,0.5,0.7,5.0,0.7776989198630764,0.00022470711557032175,22,8000
warm,1.0,0.5,10.0,1.5553978397261528,0.00022993254756764614,12,8000
warm,0.5,0.9,1.0,0.7776989198630764,0.0002775062890658653,74,8000
warm,0.1,0.9,1.0,0.15553978397261528,0.0002965213593755234,59,8000
warm,0.01,0.7,5.0,0.015553978397261527,0.00044516410041817167,9,8000
warm,0.05,0.8,5.0,0.07776989198630764,0.0004551934835403948,21,8000
